Company,Market Value,Revenue,Profits,Assets,Rank,Sector,Industry,Continent,Country,Headquarters,State,CEO,Forbes Webpage,Profits as % of Assets,Profits as % of Revenue,
Equifax,13.799,3.396,0.5249,7.196,1593,Consumer Discretionary,Business & Personal Services,North America,United States,Georgia,Georgia,Mark Begor,http://www.forbes.com/companies/equifax/,0.072943302,0.154564193,
Wendel,6.985,9.395,-0.1341,17.335,1594,Financials,Investment Services,Europe,France,France,,André François-Poncet,http://www.forbes.com/companies/wendel/,-0.007735795,-0.01427355,
Halyk Bank,3.551,2.37,0.5314,26.623,1595,Financials,Regional Banks,Asia,Kazakhstan,Kazakhstan,,Umut Shayakhmetova,http://www.forbes.com/companies/halyk-bank/,0.019960185,0.224219409,
Rite Aid,1.718,26.208,-1.186,8.989,1595,Consumer Staples,Drug Retail,North America,United States,Pennsylvania,Pennsylvania,John Standley,http://www.forbes.com/companies/rite-aid/,-0.131939037,-0.045253358,
Guangdong Investment,10.527,1.562,0.7296,8.512,1597,Utilities,Diversified Utilities,Asia,Hong Kong,Hong Kong,,Yin Wen,http://www.forbes.com/companies/guangdong-investment/,0.085714286,0.46709347,
Iliad,11.824,5.626,0.4488,10.106,1597,Information Technology,Computer Services,Europe,France,France,,Thomas Reynaud,http://www.forbes.com/companies/iliad/,0.044409262,0.079772485,
Old Republic International,6.27,6.3,0.4513,18.999,1599,Financials,Property & Casualty Insurance,North America,United States,Illinois,Illinois,Aldo Zucaro,http://www.forbes.com/companies/old-republic-international/,0.023753882,0.071634921,
Noble Group,0.077,25.914,-4.9276,4.811,1600,Industrials,Conglomerates,Asia,Hong Kong,Hong Kong,,William Randall,http://www.forbes.com/companies/noble-group/,-1.024236126,-0.190152041,
Hiroshima Bank,2.41,1.096,0.2515,82.59,1601,Financials,Regional Banks,Asia,Japan,Japan,,Isao Sumihiro,http://www.forbes.com/companies/hiroshima-bank/,0.003045163,0.229470803,
Inner Mongolia Yitai,4.341,5.541,0.7587,13.578,1601,Materials,Diversified Metals & Mining,Asia,China,China,,Yaoyong Ge,http://www.forbes.com/companies/inner-mongolia-yitai/,0.055877154,0.136924743,
Israel Discount Bank,3.342,2.757,0.35,63.722,1603,Financials,Regional Banks,Asia,Israel,Israel,,Lilach Topilsky,http://www.forbes.com/companies/israel-discount-bank/,0.005492609,0.126949583,
Bank of Kyoto,4.453,0.981,0.1998,81.67,1604,Financials,Regional Banks,Asia,Japan,Japan,,Hideo Takasaki,http://www.forbes.com/companies/bank-of-kyoto/,0.002446431,0.203669725,
Adani Ports & Special Economic Zone,12.669,1.756,0.561,7.264,1605,Industrials,Other Transportation,Asia,India,India,,Mrithyunjay Chandilya,http://www.forbes.com/companies/adani-ports-special-economic-zone/,0.077230176,0.319476082,
Piraeus Bank,1.691,3.28,-0.226,80.954,1606,Financials,Regional Banks,Europe,Greece,Greece,,Christos Megalou,http://www.forbes.com/companies/piraeus-bank/,-0.002791709,-0.068902439,
Tingyi Holding,11.177,8.726,0.2696,8.308,1606,Consumer Staples,Food Processing,Asia,China,China,,Chun-Hsien Wei,http://www.forbes.com/companies/tingyi-holding/,0.03245065,0.030896172,
EMS-Chemie Holding,14.724,2.18,0.4892,2.155,1608,Materials,Specialized Chemicals,Europe,Switzerland,Switzerland,,Magdalena MBA,http://www.forbes.com/companies/ems-chemie-holding/,0.227006961,0.22440367,
Guoco Group,4.397,3.923,0.8644,16.444,1608,Financials,Investment Services,Asia,Hong Kong,Hong Kong,,Hong Tang,http://www.forbes.com/companies/guoco-group/,0.052566286,0.220341575,
Pearson,9.748,5.812,0.5229,10.67,1608,Consumer Discretionary,Printing & Publishing,Europe,United Kingdom,United Kingdom,,John Fallon,http://www.forbes.com/companies/pearson/,0.04900656,0.08996903,
VeriSign,15.466,1.176,0.4751,2.905,1608,Information Technology,Software & Programming,North America,United States,Virginia,Virginia,D. Bidzos,http://www.forbes.com/companies/verisign/,0.163545611,0.403996599,
Chugoku Bank,2.256,1.113,0.1918,79.617,1612,Financials,Regional Banks,Asia,Japan,Japan,,Masato Miyanaga,http://www.forbes.com/companies/chugoku-bank/,0.002409033,0.172327044,
Novozymes,14.438,2.247,0.4953,3.058,1612,Health Care,Biotechs,Europe,Denmark,Denmark,,Peder Nielsen,http://www.forbes.com/companies/novozymes/,0.161968607,0.220427236,
Jabil Circuit,4.73,20.399,0.1215,11.488,1614,Information Technology,Electronics,North America,United States,Florida,Florida,Mark Mondello,http://www.forbes.com/companies/jabil-circuit/,0.010576253,0.005956174,
Metalurgica Gerdau,2.085,12.068,-0.102,15.354,1614,Materials,Iron & Steel,South America,Brazil,Brazil,,Gustavo da Cunha,http://www.forbes.com/companies/metalurgica-gerdau/,-0.00664322,-0.008452105,
Companhia Brasileira de Distribuicao,5.983,14.115,0.2343,13.665,1616,Consumer Staples,Food Retail,South America,Brazil,Brazil,,Peter Lourenço,http://www.forbes.com/companies/companhia-brasileira-de-distribuicao/,0.017145993,0.016599362,
National Bank of Greece,3.402,2.434,-0.2256,77.773,1616,Financials,Regional Banks,Europe,Greece,Greece,,Paul Mylonas,http://www.forbes.com/companies/national-bank-of-greece/,-0.00290075,-0.092686935,
77 Bank,1.84,0.898,0.1885,75.939,1618,Financials,Regional Banks,Asia,Japan,Japan,,Hiroshi Kamata,http://www.forbes.com/companies/77-bank/,0.002482255,0.209910913,
IDBI Bank,3.075,4.774,-0.748,55.807,1618,Financials,Regional Banks,Asia,India,India,,Mahesh Jain,http://www.forbes.com/companies/idbi-bank/,-0.013403336,-0.156682028,
Gunma Bank,2.623,1.312,0.2559,75.268,1620,Financials,Regional Banks,Asia,Japan,Japan,,Kazuo Kibe,http://www.forbes.com/companies/gunma-bank/,0.003399851,0.195045732,
Taylor Wimpey,8.672,5.106,0.7151,6.72,1621,Industrials,Construction Services,Europe,United Kingdom,United Kingdom,,Peter Redfern,http://www.forbes.com/companies/taylor-wimpey/,0.10641369,0.14005092,
Anta Sports Products,15.972,2.477,0.4576,2.929,1622,Consumer Discretionary,Apparel/Accessories,Asia,China,China,,Shi Ding,http://www.forbes.com/companies/anta-sports-products/,0.156230795,0.184739604,
China Communications Services,4.517,14.011,0.4011,10.862,1623,Telecommunication Services,Telecommunications services,Asia,China,China,,Fang Han,http://www.forbes.com/companies/china-communications-services/,0.036926901,0.028627507,
General Insurance Corporation Of India,8.864,4.62,0.4684,17.183,1624,Financials,Diversified Insurance,Asia,India,India,,Alice Vaidyan,http://www.forbes.com/companies/general-insurance-corporation-of-india/,0.027259501,0.101385281,
Sime Darby Plantation,9.365,3.449,0.8184,7.209,1624,Consumer Staples,Food Processing,Asia,Malaysia,Malaysia,,Franki Dass,http://www.forbes.com/companies/sime-darby-plantation/,0.113524761,0.23728617,
Alpha Bank,4.112,3.464,0.1025,73.024,1626,Financials,Regional Banks,Europe,Greece,Greece,,Demetrios Mantzounis,http://www.forbes.com/companies/alpha-bank/,0.001403648,0.029590069,
Lanxess,7.532,11.485,0.1227,12.815,1627,Materials,Diversified Chemicals,Europe,Germany,Germany,,Matthias Zachert,http://www.forbes.com/companies/lanxess/,0.009574717,0.0106835,
Sanan Optoelectronics,13.321,1.243,0.5193,4.263,1628,Information Technology,Semiconductors,Asia,China,China,,Xiucheng Lin,http://www.forbes.com/companies/sanan-optoelectronics/,0.121815623,0.417779566,
Uniqa,3.65,5.865,0.2223,33.785,1628,Financials,Diversified Insurance,Europe,Austria,Austria,,Andreas Brandstetter,http://www.forbes.com/companies/uniqa/,0.006579843,0.037902813,
Chimera Investment,3.36,1.169,0.6009,21.331,1630,Financials,Real Estate,North America,United States,New York,New York,Matthew Lambiase,http://www.forbes.com/companies/chimera-investment/,0.028170269,0.514029085,
SEB SA,9.521,7.314,0.423,8.03,1631,Consumer Discretionary,Household Appliances,Europe,France,France,,Thierry de La Tour d'Artaise,http://www.forbes.com/companies/seb-sa/,0.05267746,0.05783429,
Eurobank Ergasias,2.635,2.221,0.1173,72.083,1632,Financials,Regional Banks,Europe,Greece,Greece,,Fokion Karavias,http://www.forbes.com/companies/eurobank-ergasias/,0.001627291,0.052814048,
First Quantum Minerals,11.231,3.994,-0.155,22.143,1632,Materials,Diversified Metals & Mining,North America,Canada,Canada,,Philip Pascall,http://www.forbes.com/companies/first-quantum-minerals/,-0.006999955,-0.038808212,
Keppel,11.233,4.56,0.2166,21.101,1634,Industrials,Conglomerates,Asia,Singapore,Singapore,,Chin Loh,http://www.forbes.com/companies/keppel/,0.010264916,0.0475,
Unicaja Banco,3.122,1.514,0.1726,71.708,1634,Financials,Major Banks,Europe,Spain,Spain,,Enrique del Villar Boceta,http://www.forbes.com/companies/unicaja-banco/,0.002406984,0.114002642,
Cullen/Frost Bankers,7.583,1.264,0.3834,31.459,1636,Financials,Regional Banks,North America,United States,Texas,Texas,Phillip Green,http://www.forbes.com/companies/cullen-frost-bankers/,0.012187291,0.303322785,
Suruga Bank,3.149,1.356,0.4068,39.701,1637,Financials,Regional Banks,Asia,Japan,Japan,,Mitsuyoshi Okano,http://www.forbes.com/companies/suruga-bank/,0.010246593,0.3,
Banco Davivienda,5.205,3.58,0.432,33.765,1638,Financials,Regional Banks,South America,Colombia,Colombia,,Carlos Arango,http://www.forbes.com/companies/banco-davivienda/,0.012794314,0.120670391,
Vistra Energy,11.997,5.406,-0.638,14.776,1639,Utilities,Electric Utilities,North America,United States,Texas,Texas,Curtis Morgan,http://www.forbes.com/companies/vistra-energy/,-0.043178127,-0.118017018,
ServiceNow,31.602,2.105,-0.0978,3.704,1640,Information Technology,Software & Programming,North America,United States,California,California,John Donahoe II,http://www.forbes.com/companies/servicenow/,-0.026403888,-0.046460808,
Deutsche Pfandbriefbank,2.175,2.003,0.205,69.639,1641,Financials,Regional Banks,Europe,Germany,Germany,,Andreas Arndt,http://www.forbes.com/companies/deutsche-pfandbriefbank/,0.002943753,0.10234648,
News Corp,8.846,8.385,-1.572,13.372,1642,Consumer Discretionary,Broadcasting & Cable,North America,United States,New York,New York,Robert Thomson,http://www.forbes.com/companies/news-corp/,-0.117559079,-0.187477639,
Acciona,4.588,8.182,0.2483,20.591,1643,Industrials,Construction Services,Europe,Spain,Spain,,José Entrecanales,http://www.forbes.com/companies/acciona/,0.012058666,0.030347103,
Bendigo & Adelaide Bank,3.942,2.27,0.3467,55.737,1644,Financials,Regional Banks,Australia,Australia,Australia,,Mike Hirst,http://www.forbes.com/companies/bendigo-adelaide-bank/,0.006220285,0.152731278,
Brambles,11.831,5.1,0.4691,8.258,1644,Consumer Discretionary,Business & Personal Services,Australia,Australia,Australia,,Graham Chipchase,http://www.forbes.com/companies/brambles/,0.056805522,0.091980392,
Spotify Technology,27.029,4.613,-1.393,3.938,1644,Information Technology,Software & Programming,Europe,Luxembourg,Luxembourg,,Daniel Ek,http://www.forbes.com/companies/spotify-technology/,-0.353732859,-0.301972686,
Haseko,4.663,7.338,0.6522,6.472,1647,Industrials,Construction Services,Asia,Japan,Japan,,Ikuo Oguri,http://www.forbes.com/companies/haseko/,0.100772559,0.088879804,
LEG Immobilien AG,7.128,0.958,1.0362,12.406,1647,Financials,Real Estate,Europe,Germany,Germany,,,http://www.forbes.com/companies/leg-immobilien-ag/,0.083524101,1.081628392,
Bed Bath & Beyond,2.359,12.349,0.4249,7.041,1649,Consumer Discretionary,Specialty Stores,North America,United States,New Jersey,New Jersey,Steven Temares,http://www.forbes.com/companies/bed-bath-beyond/,0.060346542,0.034407644,
IndusInd Bank,16.896,2.77,0.4277,,1650,Financials,Regional Banks,Asia,India,India,,Romesh Sobti,http://www.forbes.com/companies/indusind-bank/,,0.154404332,
Red Hat,30.643,2.92,0.2588,5.467,1651,Information Technology,Software & Programming,North America,United States,North Carolina,North Carolina,Jim Whitehurst,http://www.forbes.com/companies/red-hat/,0.047338577,0.088630137,
Dangote Cement,11.565,2.436,0.5719,4.776,1652,Materials,Construction Materials,Africa,Nigeria,Nigeria,,Joseph Makoju,http://www.forbes.com/companies/dangote-cement/,0.119744556,0.234770115,
Gjensidige Forsikring,7.913,3.628,0.4862,19.534,1653,Financials,Property & Casualty Insurance,Europe,Norway,Norway,,Helge Baastad,http://www.forbes.com/companies/gjensidige-forsikring/,0.024889935,0.13401323,
SDIC Essence,8.301,1.889,0.3808,25.875,1653,Consumer Staples,Household/Personal Care,Asia,China,China,,Wen Duan,http://www.forbes.com/companies/sdic-essence/,0.014716908,0.201588142,
Bank Muscat,2.895,1.527,0.4632,29.363,1655,Financials,Regional Banks,Asia,Oman,Oman,,Abdul Ali Issa,http://www.forbes.com/companies/bank-muscat/,0.015774955,0.303339882,
Iyo Bank,2.485,0.999,0.2133,66.729,1656,Financials,Regional Banks,Asia,Japan,Japan,,Iwao Ohtsuka,http://www.forbes.com/companies/iyo-bank/,0.003196511,0.213513514,
NARI Technology Development,13.3,3.969,0.5005,6.911,1657,Industrials,Electrical Equipment,Asia,China,China,,Shijie Xiao,http://www.forbes.com/companies/nari-technology-development/,0.072420778,0.126102293,
Suzuken,4.242,19.164,0.1698,11.074,1658,Health Care,Pharmaceuticals,Asia,Japan,Japan,,Jian Zhang,http://www.forbes.com/companies/suzuken/,0.015333213,0.008860363,
Longi Green Energy Technology,11.943,2.564,0.5535,5.532,1659,Information Technology,Semiconductors,Asia,China,China,,Zhen Li,http://www.forbes.com/companies/longi-green-energy-technology/,0.10005423,0.215873635,
Autodesk,29.845,2.049,-0.5669,4.114,1660,Information Technology,Software & Programming,North America,United States,California,California,Andrew Anagnost,http://www.forbes.com/companies/autodesk/,-0.137797764,-0.276671547,
Invitation Homes,12.322,1.043,-0.1398,18.684,1661,,,North America,United States,Texas,Texas,Frederick Tuomi,http://www.forbes.com/companies/invitation-homes/,-0.007482338,-0.134036433,
Maxim Integrated Products,16.109,2.449,0.4365,4.623,1662,Information Technology,Semiconductors,North America,United States,California,California,Tunç Doluca,http://www.forbes.com/companies/maxim-integrated-products/,0.094419208,0.178236015,
Shanghai Fosun Pharmaceutical,14.479,3.049,0.4657,10.127,1662,Health Care,Pharmaceuticals,Asia,China,China,,Yi Wu,http://www.forbes.com/companies/shanghai-fosun-pharmaceutical-group/,0.045985978,0.152738603,
Workday,29.346,2.142,-0.3212,4.947,1664,Information Technology,Software & Programming,North America,United States,California,California,Aneel Bhusri,http://www.forbes.com/companies/workday/,-0.064928239,-0.149953315,
Dexus,7.414,0.718,1.1845,10.799,1665,Financials,Real Estate,Australia,Australia,Australia,,Darren Steinberg,http://www.forbes.com/companies/dexus/,0.109686082,1.649721448,
Garmin,11.177,3.159,0.5865,4.855,1666,Consumer Discretionary,Consumer Electronics,Europe,Switzerland,Switzerland,,Clifton Pemble,http://www.forbes.com/companies/garmin/,0.120803296,0.185660019,
Moscow Exchange,4.541,0.675,0.3474,52.592,1667,Financials,Investment Services,Asia,Russia,Russia,,Alexander Afanasiev,http://www.forbes.com/companies/moscow-exchange/,0.006605567,0.514666667,
Rexel,4.735,15.385,0.1208,12.203,1668,Information Technology,Electronics,Europe,France,France,,Patrick Berard,http://www.forbes.com/companies/rexel/,0.009899205,0.007851804,
People's United Bank,6.476,1.718,0.3738,44.1,1669,Financials,Thrifts & Mortgage Finance,North America,United States,Connecticut,Connecticut,John Barnes,http://www.forbes.com/companies/peoples-united-bank/,0.00847619,0.21757858,
American Equity Investment,2.591,2.267,0.2617,61.301,1670,Financials,Life & Health Insurance,North America,United States,Iowa,Iowa,John Matovina,http://www.forbes.com/companies/american-equity-investment/,0.004269098,0.115438906,
Sany Heavy Industry,10.301,6.161,0.4295,10.143,1671,Industrials,Heavy Equipment,Asia,China,China,,Wen Liang,http://www.forbes.com/companies/sany-heavy-industry/,0.042344474,0.069712709,
Luzhou Lao Jiao,15.007,1.455,0.4484,3.202,1672,Consumer Staples,Beverages,Asia,China,China,,Feng Lin,http://www.forbes.com/companies/luzhou-lao-jiao/,0.140037477,0.308178694,
Tractor Supply,8.624,7.375,0.4337,3.208,1672,Consumer Discretionary,Specialty Stores,North America,United States,Tennessee,Tennessee,Gregory Sandfort,http://www.forbes.com/companies/tractor-supply/,0.135193267,0.05880678,
Grupo De Inversiones Suramericana,7.779,3.955,0.4256,23.246,1674,Financials,Investment Services,South America,Colombia,Colombia,,David García,http://www.forbes.com/companies/grupo-de-inversiones-suramericana/,0.018308526,0.107610619,
Molina Healthcare,5.169,19.625,-0.482,9.133,1674,Health Care,Managed Health Care,North America,United States,California,California,Joe Zubretsky,http://www.forbes.com/companies/molina-healthcare/,-0.052775649,-0.02456051,
Aozora Bank,4.746,1.208,0.3729,43.647,1676,Financials,Regional Banks,Asia,Japan,Japan,,Shinsuke Baba,http://www.forbes.com/companies/aozora-bank/,0.008543543,0.308692053,
Cattolica Assicurazioni,1.7,5.905,0.0464,30.309,1677,Financials,Diversified Insurance,Europe,Italy,Italy,,Alberto PhD,http://www.forbes.com/companies/cattolica-assicurazioni/,0.001530898,0.007857748,
Fluor,6.544,19.509,0.1131,9.425,1677,Industrials,Construction Services,North America,United States,Texas,Texas,David Seaton,http://www.forbes.com/companies/fluor/,0.012,0.005797324,
Pinnacle West,8.744,3.582,0.4684,17.148,1679,Utilities,Electric Utilities,North America,United States,Arizona,Arizona,Donald Brandt,http://www.forbes.com/companies/pinnacle-west/,0.027315139,0.130764936,
Vornado Realty,13.308,2.216,0.1704,16.864,1680,Financials,Real Estate,North America,United States,New York,New York,Steven Roth,http://www.forbes.com/companies/vornado-realty/,0.010104364,0.076895307,
CIT Group,6.818,3.235,0.2794,51.542,1681,Financials,Consumer Financial Services,North America,United States,New York,New York,Ellen Alemany,http://www.forbes.com/companies/cit-group/,0.005420822,0.086367852,
Crown Resorts,6.956,2.543,1.338,6.465,1681,Consumer Discretionary,Casinos & Gaming,Australia,Australia,Australia,,John Alexander,http://www.forbes.com/companies/crown-resorts/,0.206960557,0.526150216,
Air Lease Corporation,4.564,1.512,0.7819,15.945,1683,Consumer Discretionary,Business & Personal Services,North America,United States,California,California,John Plueger,http://www.forbes.com/companies/air-lease-corporation/,0.049037316,0.51712963,
Tokyu Fudosan,4.788,7.815,0.3175,20.468,1683,Financials,Real Estate,Asia,Japan,Japan,,Yuji Okuma,http://www.forbes.com/companies/tokyu-fudosan/,0.015512019,0.040626999,
Vipshop Holdings,8.667,10.816,0.289,5.833,1683,Consumer Discretionary,Internet & Catalog Retail,Asia,China,China,,Ya Shen,http://www.forbes.com/companies/vipshop-holdings/,0.049545688,0.026719675,
Live Nation Entertainment,8.881,10.407,-0.1024,9.118,1686,,Diversified Media,North America,United States,California,California,Michael Rapino,http://www.forbes.com/companies/live-nation-entertainment/,-0.011230533,-0.009839531,
Catcher Technology,8.957,3.305,0.7807,7.405,1687,Information Technology,Electronics,Asia,Taiwan,Taiwan,,Tien-Szu Hung,http://www.forbes.com/companies/catcher-technology/,0.105428764,0.236217852,
Eisai,19.463,5.082,0.2591,9.305,1687,Health Care,Pharmaceuticals,Asia,Japan,Japan,,Haruo Naito,http://www.forbes.com/companies/eisai/,0.027845244,0.050983865,
American National Insurance,3.222,3.389,0.4726,26.464,1689,Financials,Diversified Insurance,North America,United States,Texas,Texas,Robert Moody,http://www.forbes.com/companies/american-national-insurance/,0.017858222,0.139451166,
Cybg,3.817,1.599,0.1938,58.001,1689,Financials,Regional Banks,Europe,United Kingdom,United Kingdom,,David Duffy,http://www.forbes.com/companies/cybg/,0.003341322,0.12120075,
Hubei Biocause Pharmaceutical,6.076,6.787,0.2346,23.667,1691,,,Asia,China,China,,Yunhua Xiao,http://www.forbes.com/companies/hubei-biocause-pharmaceutical/,0.009912536,0.034566082,
Empire,5.232,18.681,0.0914,7.04,1692,Consumer Staples,Food Retail,North America,Canada,Canada,,Michael Medline,http://www.forbes.com/companies/empire/,0.012982955,0.004892672,
Toho Bank,0.986,0.611,0.0662,56.673,1692,Financials,Regional Banks,Asia,Japan,Japan,,Seishi Kitamura,http://www.forbes.com/companies/toho-bank/,0.001168105,0.108346972,
Xinhu Zhongbao,5.973,2.616,0.5627,20.864,1692,Materials,Diversified Metals & Mining,Asia,China,China,,Jun Lin,http://www.forbes.com/companies/xinhu-zhongbao/,0.0269699,0.215099388,
Grupo Televisa,11.394,5.126,0.208,15.855,1695,Consumer Discretionary,Broadcasting & Cable,North America,Mexico,Mexico,,Alfonso Noriega,http://www.forbes.com/companies/grupo-televisa/,0.01311889,0.040577448,
Lundin Petroleum,10.632,2.177,0.5943,5.983,1695,,,Europe,Sweden,Sweden,,Bernardo Martínez,http://www.forbes.com/companies/lundin-petroleum/,0.099331439,0.272990354,
Nippon Steel Trading,1.911,18.608,0.196,7.336,1697,Materials,Diversified Metals & Mining,Asia,Japan,Japan,,Ichiro Miyasaka,http://www.forbes.com/companies/nippon-steel-trading/,0.026717557,0.010533104,
Daishi Bank,1.535,0.667,0.1243,56.019,1698,Financials,Regional Banks,Asia,Japan,Japan,,Fujio Namiki,http://www.forbes.com/companies/daishi-bank/,0.00221889,0.186356822,
Diamondback Energy,12.21,1.45,0.5088,8.225,1698,Energy,Oil & Gas Operations,North America,United States,Texas,Texas,Travis Stice,http://www.forbes.com/companies/diamondback-energy/,0.061860182,0.350896552,
Motherson Sumi Systems,10.61,8.023,0.2386,5.364,1698,Consumer Discretionary,Auto & Truck Parts,Asia,India,India,,Vivek Sehgal,http://www.forbes.com/companies/motherson-sumi-systems/,0.04448173,0.029739499,
Avnet,4.808,18.584,-0.1389,9.712,1701,Information Technology,Electronics,North America,United States,Arizona,Arizona,Bill Amelio,http://www.forbes.com/companies/avnet/,-0.014301895,-0.007474171,
Huaneng Lancang River Hydropower,9.491,1.857,0.324,25.077,1701,Utilities,Electric Utilities,Asia,China,China,,,http://www.forbes.com/companies/huaneng-lancang-river-hydropower/,0.012920206,0.17447496,
Xinyu Iron & Steel,2.99,7.859,0.5596,5.24,1703,Industrials,Electrical Equipment,Asia,China,China,,Cai Guan,http://www.forbes.com/companies/xinyu-iron-steel/,0.106793893,0.071204988,
Nomura Research Institute,12.477,4.254,0.4976,6.137,1704,Information Technology,Computer Services,Asia,Japan,Japan,,Tadashi Shimamoto,http://www.forbes.com/companies/nomura-research/,0.081081962,0.116972261,
Virgin Money Holdings,2.086,1.326,0.2474,55.609,1704,Financials,Regional Banks,Europe,United Kingdom,United Kingdom,,Jayne-Anne Gadhia,http://www.forbes.com/companies/virgin-money-holdings/,0.00444892,0.186576169,
Alliant Energy,9.644,3.445,0.488,14.242,1706,Utilities,Electric Utilities,North America,United States,Wisconsin,Wisconsin,Patricia Kampling,http://www.forbes.com/companies/alliant-energy/,0.03426485,0.141654572,
Juroku Bank,0.975,0.941,0.0622,55.152,1707,Financials,Regional Banks,Asia,Japan,Japan,,Yukio Murase,http://www.forbes.com/companies/juroku-bank/,0.001127792,0.066099894,
Banco de Chile,6.461,3.93,0.1326,55.079,1708,Financials,Regional Banks,South America,Chile,Chile,,Arturo Quiroz,http://www.forbes.com/companies/banco-de-chile/,0.002407451,0.033740458,
Makita,12.46,4.306,0.494,6.122,1709,Consumer Staples,Household/Personal Care,Asia,Japan,Japan,,Masahiko Goto,http://www.forbes.com/companies/makita/,0.080692584,0.114723641,
BayWa,1.187,18.109,0.0444,7.791,1710,Consumer Discretionary,Specialty Stores,Europe,Germany,Germany,,Klaus Lutz,http://www.forbes.com/companies/baywa/,0.005698883,0.00245182,
Signature Bank,7.012,1.566,0.2878,44.436,1710,Financials,Regional Banks,North America,United States,New York,New York,Joseph DePaolo,http://www.forbes.com/companies/signature-bank/,0.006476731,0.183780332,
Old Dominion Freight Line,12.091,3.529,0.5073,3.144,1712,Industrials,Trucking,North America,United States,North Carolina,North Carolina,Greg Gantt,http://www.forbes.com/companies/old-dominion-freight-line/,0.161354962,0.143751771,
SYNNEX,4.412,18.077,0.2614,7.458,1712,Information Technology,Computer Services,North America,United States,California,California,Dennis Polk,http://www.forbes.com/companies/synnex/,0.035049611,0.014460364,
Commercial Bank For Investment & Development Of Vietnam,5.105,4.243,0.3105,53.791,1714,Financials,Regional Banks,Asia,Vietnam,Vietnam,,Tu Phan,http://www.forbes.com/companies/commercial-bank-for-investment-development-of-vietnam/,0.005772341,0.073179354,
SQM,15.09,2.169,0.4274,4.425,1715,Materials,Diversified Chemicals,South America,Chile,Chile,,Patricio Contesse Gonzalez,http://www.forbes.com/companies/sqm/,0.096587571,0.197049331,
SinoPac Financial,3.973,1.557,0.2986,53.738,1715,Financials,Regional Banks,Asia,Taiwan,Taiwan,,Shih Chu,http://www.forbes.com/companies/sinopac-financial/,0.005556589,0.191779062,
WPG Holdings,2.545,17.906,0.2452,6.207,1717,Information Technology,Electronics,Asia,Taiwan,Taiwan,,Fu Yeh,http://www.forbes.com/companies/wpg-holdings/,0.039503786,0.013693734,
Oi,0.885,7.452,-1.994,20.692,1718,Telecommunication Services,Telecommunications services,South America,Brazil,Brazil,,Eurico Teles Neto,http://www.forbes.com/companies/oi/,-0.096365745,-0.267579173,
Vietin Bank,4.808,3.411,0.3445,48.843,1719,Financials,Regional Banks,Asia,Vietnam,Vietnam,,Tho Le,http://www.forbes.com/companies/vietin-bank/,0.007053211,0.100996775,
Atmos Energy,9.801,3.1,0.5992,11.356,1720,Utilities,Natural Gas Utilities,North America,United States,Texas,Texas,Michael Haefner,http://www.forbes.com/companies/atmos-energy/,0.052765058,0.193290323,
Grupo Bolivar,1.47,4.703,0.3591,36.65,1720,Consumer Discretionary,Business & Personal Services,South America,Colombia,Colombia,,José Cortés,http://www.forbes.com/companies/grupo-bolivar/,0.00979809,0.076355518,
Taiwan Business Bank,1.907,1.01,0.1657,53.232,1722,Financials,Regional Banks,Asia,Taiwan,Taiwan,,Rueen-Fong Chu,http://www.forbes.com/companies/taiwan-business-bank/,0.003112789,0.164059406,
Realty Income,15.07,1.248,0.3131,14.474,1723,Financials,Real Estate,North America,United States,California,California,John Case,http://www.forbes.com/companies/realty-income/,0.021631892,0.25088141,
BCV Group,6.853,1.17,0.3253,46.603,1724,Financials,Regional Banks,Europe,Switzerland,Switzerland,,Pascal Kiener,http://www.forbes.com/companies/bcv-group/,0.006980237,0.278034188,
DGB Financial Group,1.787,2.567,0.2673,52.995,1725,Financials,Regional Banks,Asia,South Korea,South Korea,,In-Gyoo Park,http://www.forbes.com/companies/dgb-financial-group/,0.005043872,0.104129334,
Rentokil Initial,8.034,3.107,0.8793,4.204,1726,Consumer Discretionary,Business & Personal Services,Europe,United Kingdom,United Kingdom,,Doug Flynn,http://www.forbes.com/companies/rentokil-initial/,0.209157945,0.283006115,
Performance Food Group,3.623,17.454,0.1747,3.965,1727,Consumer Staples,Food Retail,North America,United States,Virginia,Virginia,George Holm,http://www.forbes.com/companies/performance-food-group/,0.04406053,0.010009167,
Shiga Bank,1.34,0.759,0.117,52.212,1727,Financials,Regional Banks,Asia,Japan,Japan,,Yoshio Daido,http://www.forbes.com/companies/shiga-bank/,0.002240864,0.154150198,
Twitter,24.65,2.56,0.0145,7.539,1729,,,North America,United States,California,California,Dick Costolo,http://www.forbes.com/companies/twitter/,0.001923332,0.005664063,
Agilent Technologies,22.396,4.616,0.196,8.698,1730,Information Technology,Electronics,North America,United States,California,California,Michael McMullen,http://www.forbes.com/companies/agilent-technologies/,0.022533916,0.042461005,
CBOE Holdings,12.016,2.651,0.4989,5.328,1731,,,North America,United States,Illinois,Illinois,Edward Tilly,http://www.forbes.com/companies/cboe-holdings/,0.093637387,0.188193135,
Ogaki Kyoritsu Bank,1.079,0.718,0.067,51.881,1731,Financials,Regional Banks,Asia,Japan,Japan,,Takashi Tsuchiya,http://www.forbes.com/companies/ogaki-kyoritsu-bank/,0.001291417,0.093314763,
Saipem,4.045,10.15,-0.37,15.118,1733,Energy,Oil & Gas Operations,Europe,Italy,Italy,,Stefano Cao,http://www.forbes.com/companies/saipem/,-0.024474137,-0.036453202,
